Original Molecule,Similar Molecules Above Threshold
CHEMBL2022258,CHEMBL2022247:0.825; CHEMBL2022252:0.6666666666666666; CHEMBL2022254:0.6020408163265306; CHEMBL2022257:0.7078651685393258; CHEMBL2022576:0.7816091954022989; CHEMBL2022577:0.7391304347826086; CHEMBL2047149:0.7391304347826086; CHEMBL2047150:0.7391304347826086; CHEMBL2047151:0.7311827956989247; CHEMBL2047152:0.7311827956989247; CHEMBL2047153:0.7311827956989247; CHEMBL2047154:0.723404255319149; CHEMBL2047155:0.723404255319149; CHEMBL2047156:0.723404255319149; CHEMBL2047157:0.68; CHEMBL2047158:0.723404255319149; CHEMBL2047159:0.723404255319149; CHEMBL2047160:0.6538461538461539; CHEMBL2047161:0.7083333333333334; CHEMBL2047162:0.7010309278350515; CHEMBL2047163:0.6415094339622641; CHEMBL2047164:0.6363636363636364; CHEMBL2047165:0.64; CHEMBL2047166:0.6363636363636364; CHEMBL2047167:0.6285714285714286; CHEMBL2047168:0.6132075471698113; CHEMBL2047169:0.6132075471698113; CHEMBL2047170:0.6176470588235294; CHEMBL2179472:0.7311827956989247; CHEMBL1829174:0.7311827956989247
CHEMBL2047161,CHEMBL2022247:0.6875; CHEMBL2022252:0.6; CHEMBL2022258:0.7083333333333334; CHEMBL2022576:0.693069306930693; CHEMBL2022577:0.660377358490566; CHEMBL2047149:0.660377358490566; CHEMBL2047150:0.660377358490566; CHEMBL2047151:0.6542056074766355; CHEMBL2047152:0.6542056074766355; CHEMBL2047153:0.6542056074766355; CHEMBL2047154:0.797979797979798; CHEMBL2047155:0.797979797979798; CHEMBL2047156:0.797979797979798; CHEMBL2047157:0.6283185840707964; CHEMBL2047158:0.6481481481481481; CHEMBL2047159:0.6635514018691588; CHEMBL2047160:0.6347826086956522; CHEMBL2047162:0.6306306306306306; CHEMBL2047163:0.6101694915254238; CHEMBL2047165:0.6071428571428571; CHEMBL2047167:0.6120689655172413; CHEMBL2179472:0.6698113207547169; CHEMBL1829174:0.6698113207547169
CHEMBL2047163,CHEMBL2022247:0.6226415094339622; CHEMBL2022258:0.6415094339622641; CHEMBL2022576:0.6759259259259259; CHEMBL2022577:0.631578947368421; CHEMBL2047149:0.631578947368421; CHEMBL2047150:0.631578947368421; CHEMBL2047151:0.6260869565217392; CHEMBL2047152:0.6260869565217392; CHEMBL2047153:0.6260869565217392; CHEMBL2047158:0.6206896551724138; CHEMBL2047159:0.6206896551724138; CHEMBL2047161:0.6101694915254238; CHEMBL2047162:0.6324786324786325; CHEMBL2179472:0.6260869565217392; CHEMBL1829174:0.6260869565217392
CHEMBL2047168,CHEMBL2022247:0.6095238095238096; CHEMBL2022258:0.6132075471698113; CHEMBL2047159:0.7129629629629629; CHEMBL2047164:0.6666666666666666; CHEMBL2047166:0.6972477064220184; CHEMBL2047167:0.6869565217391305; CHEMBL2047169:0.7798165137614679; CHEMBL2047170:0.6936936936936937; CHEMBL2179472:0.719626168224299; CHEMBL1829174:0.719626168224299
CHEMBL2047169,CHEMBL2022247:0.6095238095238096; CHEMBL2022258:0.6132075471698113; CHEMBL2047159:0.7129629629629629; CHEMBL2047164:0.6666666666666666; CHEMBL2047166:0.7129629629629629; CHEMBL2047168:0.7798165137614679; CHEMBL2047170:0.7407407407407407; CHEMBL2179472:0.719626168224299; CHEMBL1829174:0.719626168224299
CHEMBL2048621,CHEMBL2047160:0.6293103448275862; CHEMBL2048618:0.6568627450980392; CHEMBL2048622:0.6442307692307693
CHEMBL2048623,CHEMBL1688473:0.6590909090909091; CHEMBL2047154:0.6037735849056604; CHEMBL2047155:0.6037735849056604; CHEMBL2047156:0.6037735849056604; CHEMBL2048618:0.6326530612244898; CHEMBL2048619:0.782608695652174; CHEMBL2048620:0.6019417475728155; CHEMBL2048622:0.62; CHEMBL2048624:0.6732673267326733; CHEMBL2048626:0.6534653465346535
CHEMBL4067052,CHEMBL4078852:0.6901408450704225; CHEMBL4070703:0.6470588235294118
CHEMBL4069191,CHEMBL4089171:0.7051282051282052; CHEMBL4073525:0.7294117647058823; CHEMBL4090240:0.6463414634146342; CHEMBL4079930:0.611764705882353
CHEMBL4071899,CHEMBL4082395:0.67
CHEMBL4787628,CHEMBL3915620:0.7029702970297029; CHEMBL4783190:0.6666666666666666; CHEMBL4794904:0.6095238095238096; CHEMBL4792027:0.7029702970297029; CHEMBL4786299:1.0
CHEMBL4798023,CHEMBL3915620:0.7254901960784313; CHEMBL4792027:0.7254901960784313; CHEMBL4798993:0.7884615384615384; CHEMBL4781604:0.7735849056603774; CHEMBL4793371:0.803921568627451; CHEMBL4787010:0.7757009345794392; CHEMBL4792075:0.6396396396396397; CHEMBL4782004:0.6396396396396397; CHEMBL4797124:0.631578947368421; CHEMBL4795763:0.6228070175438597; CHEMBL4790921:0.6173913043478261; CHEMBL4794233:0.6120689655172413; CHEMBL4783033:0.6120689655172413
CHEMBL4792075,CHEMBL3915620:0.7029702970297029; CHEMBL4792027:0.7029702970297029; CHEMBL4798023:0.6396396396396397; CHEMBL4798993:0.6396396396396397; CHEMBL4781604:0.6283185840707964; CHEMBL4793371:0.6513761467889908; CHEMBL4787010:0.6173913043478261; CHEMBL4782004:0.6792452830188679; CHEMBL4797124:0.6697247706422018; CHEMBL4795763:0.6605504587155964; CHEMBL4790921:0.6545454545454545; CHEMBL4794233:0.6339285714285714; CHEMBL4783033:0.6339285714285714
CHEMBL4787498,CHEMBL4101901:0.7047619047619048; CHEMBL4782004:0.6574074074074074; CHEMBL4791842:0.6990291262135923
CHEMBL81260,CHEMBL78621:0.6363636363636364; CHEMBL309920:0.6140350877192983; CHEMBL78012:0.625; CHEMBL387998:0.6140350877192983; CHEMBL243492:0.6206896551724138; CHEMBL241967:0.6140350877192983; CHEMBL394553:0.6140350877192983; CHEMBL71696:0.6140350877192983
CHEMBL55380,CHEMBL55401:0.6206896551724138; CHEMBL328430:0.6; CHEMBL329640:0.6428571428571429; CHEMBL91449:0.6206896551724138; CHEMBL1774643:0.6206896551724138
CHEMBL78765,CHEMBL78410:0.6538461538461539; CHEMBL78621:0.6538461538461539; CHEMBL309920:0.6
CHEMBL76112,CHEMBL74348:1.0; CHEMBL305634:1.0; CHEMBL74704:1.0
CHEMBL58092,CHEMBL55536:0.6764705882352942
CHEMBL57267,CHEMBL224392:0.9787234042553191
CHEMBL55536,CHEMBL58092:0.6764705882352942
CHEMBL93118,CHEMBL93334:0.62; CHEMBL92816:0.62; CHEMBL243630:0.75
CHEMBL329640,CHEMBL55380:0.6428571428571429; CHEMBL55401:0.6428571428571429; CHEMBL328430:0.6206896551724138; CHEMBL92801:0.6101694915254238; CHEMBL330529:0.6545454545454545; CHEMBL91449:0.6428571428571429; CHEMBL93109:0.6792452830188679; CHEMBL510384:0.6792452830188679; CHEMBL1774643:0.6428571428571429
CHEMBL1169460,CHEMBL198597:0.6607142857142857; CHEMBL196407:0.803921568627451; CHEMBL196387:0.6212121212121212; CHEMBL567747:0.6551724137931034; CHEMBL373236:0.6551724137931034
CHEMBL438972,CHEMBL203320:0.6136363636363636; CHEMBL381991:0.6136363636363636; CHEMBL378797:0.75
CHEMBL205824,CHEMBL382007:0.75; CHEMBL204010:0.75
CHEMBL381991,CHEMBL438972:0.6136363636363636; CHEMBL203320:0.627906976744186; CHEMBL204010:0.6857142857142857; CHEMBL378797:0.7714285714285715
CHEMBL205332,CHEMBL208456:0.6
CHEMBL205899,NA
CHEMBL216432,CHEMBL216864:0.8305084745762712; CHEMBL386737:0.6190476190476191; CHEMBL387276:0.7543859649122807
CHEMBL224149,CHEMBL227923:0.6949152542372882; CHEMBL224148:0.6774193548387096; CHEMBL227817:0.6507936507936508; CHEMBL224147:0.7076923076923077
CHEMBL227817,CHEMBL224149:0.6507936507936508; CHEMBL1162947:0.6949152542372882; CHEMBL390561:0.6774193548387096; CHEMBL227921:0.7076923076923077
CHEMBL413436,CHEMBL227674:0.6491228070175439; CHEMBL227752:0.7037037037037037; CHEMBL224096:0.7735849056603774; CHEMBL389671:0.9787234042553191; CHEMBL227577:0.631578947368421; CHEMBL227576:0.7547169811320755
